sample,seed,source,target,N_target,spearman,pearson,target_centered_r2,rmse
A,20260925,cash,food,1831,0.18226283174049934,0.19019220744824772,0.028825624330955923,0.25692332254286226
A,20260925,cash,medical,1859,0.11635730187480607,0.13131595844558905,-0.0340373358077235,0.24083602041252872
A,20260925,food,cash,1790,0.19942920858162172,0.21652771066340537,0.039465410039873805,0.265626897661549
A,20260925,food,food,1831,0.14601796650020607,0.15777154359605328,0.024727635359567568,0.2574648116041913
A,20260925,food,medical,1859,0.14186941157816402,0.15221109434762745,0.004481353964505219,0.23630778622205656
A,20260925,medical,cash,1790,0.1512678746582034,0.1436693325821234,-0.01128783582605175,0.272554236704105
A,20260925,medical,food,1831,0.16461782003270992,0.14598260641514432,0.00866333995243862,0.25957657965256686
A,20260925,medical,medical,1859,0.16255947273471075,0.18155042874019733,0.032560027761714516,0.23295141133937397
A,20260926,cash,cash,1790,0.1632087077310173,0.191422372124739,0.03653515390516626,0.26603175665151996
A,20260926,cash,food,1831,0.18440799709504904,0.19786369206754884,0.031995652017282494,0.2565036657996595
A,20260926,cash,medical,1859,0.09388246218380211,0.10544347969468003,-0.04398890860786042,0.2419921480675107
A,20260926,food,cash,1790,0.2035834509039764,0.21430383813204162,0.03902978452662742,0.26568712492356344
A,20260926,food,food,1831,0.15952755133129012,0.1662061117829374,0.027624201559754424,0.2570821910906935
A,20260926,food,medical,1859,0.1241828971173114,0.14011192346889192,-0.0005241986002251231,0.23690112915314235
A,20260926,medical,cash,1790,0.1309632511233807,0.1248736805716091,-0.01607910088108966,0.27319912555402426
A,20260926,medical,food,1831,0.14502198279526285,0.14305393617480902,0.007349025754322391,0.25974859597838934
A,20260926,medical,medical,1859,0.183212240929964,0.1960702170554264,0.037195938048480426,0.23239259697502693
A,20260927,cash,cash,1790,0.15676762372394837,0.17607702939198658,0.030946951852376836,0.26680214789926865
A,20260927,cash,food,1831,0.17516497495801162,0.18474733595731582,0.026985780342627774,0.25716657194157333
A,20260927,cash,medical,1859,0.11591521763429745,0.12956537939571885,-0.033344588557353116,0.2407553335564386
A,20260927,food,cash,1790,0.18623030161335388,0.20379299927769148,0.035579917308332876,0.26616360386621685
A,20260927,food,food,1831,0.16064049523032395,0.1693594409908043,0.028667429480023654,0.25694424684478884
A,20260927,food,medical,1859,0.15151971145208187,0.1490853278547199,0.0029514209705751027,0.23648929778055314
A,20260927,medical,cash,1790,0.12982465473772695,0.12390764613567042,-0.01686408147542573,0.2733046363394539
A,20260927,medical,food,1831,0.14279980986724097,0.14558167251161183,0.008271532512515445,0.2596278710009366
A,20260927,medical,medical,1859,0.1704682628644844,0.18276597588060334,0.032924185901161196,0.2329075641036877
A,20260928,cash,cash,1790,0.18630752073344017,0.2100477496311291,0.04329582408863397,0.26509673591882515
A,20260928,cash,food,1831,0.18233581093023976,0.18366948315908047,0.026809983911052715,0.2571898022926516
A,20260928,cash,medical,1859,0.09431300407774167,0.09715789449421075,-0.04906065152161032,0.24257924002130518
A,20260928,food,cash,1790,0.18113173767936136,0.19619869852571314,0.0332176914420923,0.2664893716658214
A,20260928,food,food,1831,0.17328561209872848,0.1722807815313082,0.029634911021864108,0.25681625219326176
A,20260928,food,medical,1859,0.13098054669838635,0.13786200591983774,-0.0006050319530401804,0.23691069869969628
A,20260928,medical,cash,1790,0.12036560884079467,0.11741043551411846,-0.018510339080804572,0.27352578087957835
A,20260928,medical,food,1831,0.15512512644856527,0.1415184753814647,0.006832680702252514,0.25981614362057004
A,20260928,medical,medical,1859,0.16463468228687736,0.18202898593937358,0.03285894943737899,0.23291541964583815
A,20260929,cash,cash,1790,0.1736817175022835,0.1970713650004407,0.038652916159858663,0.26573921772317755
A,20260929,cash,food,1831,0.1651942726920648,0.17844326978194405,0.024848275852162205,0.2574488870053668
A,20260929,cash,medical,1859,0.11366903603214445,0.12057660800266765,-0.03807055320771391,0.24130524848870816
A,20260929,food,cash,1790,0.18329180633438252,0.2022235019915279,0.035414412290355246,0.26618644117698514
A,20260929,food,food,1831,0.150363055102304,0.1514291617253113,0.022531732015642958,0.2577544998883724
A,20260929,food,medical,1859,0.14856466336026694,0.15788961015258882,0.006671091344565672,0.2360477524927687
A,20260929,medical,cash,1790,0.1363603237695656,0.13869356868040592,-0.012164271853464248,0.27267231615224813
A,20260929,medical,food,1831,0.1558588226440626,0.15218660622996227,0.010085646509796264,0.25939030086021264
A,20260929,medical,medical,1859,0.15434356609239466,0.1631717016491107,0.026617404779429088,0.23366578281456388
C,20260925,cash,cash,1697,0.15560136536333935,0.1978531146269385,0.03812002050265062,0.2665784739680246
C,20260925,cash,food,1719,0.16253217114150656,0.19022153928241545,0.029253366817609483,0.25843745762878484
C,20260925,cash,medical,1755,0.09954682470912755,0.12428569367992977,-0.037837523620884994,0.2408318451715641
C,20260925,food,cash,1697,0.18151825313869666,0.2147119548751041,0.03871536775559015,0.26649596298396283
C,20260925,food,food,1719,0.1615883435338116,0.19108079689093524,0.03560411984014633,0.2575907044281027
C,20260925,food,medical,1755,0.1330172839749709,0.16633126793570813,0.008275522774330968,0.23542075322717906
C,20260925,medical,cash,1697,0.12964644402972728,0.13544366643874597,-0.015142254218327267,0.2738596743395401
C,20260925,medical,food,1719,0.15167325782144062,0.14484616334437722,0.0065088653220692905,0.2614475109492421
C,20260925,medical,medical,1755,0.16248025857127185,0.17131518171473087,0.029314923213069166,0.23291014466365292
C,20260926,cash,cash,1697,0.15368451117115894,0.18544224253771116,0.033999701768753554,0.2671488229458469
C,20260926,cash,food,1719,0.18333025271968972,0.19470053065449508,0.03116064001027874,0.2581834504719852
C,20260926,cash,medical,1755,0.10386289218551181,0.12498860129104607,-0.038378293992376245,0.24089458031216798
C,20260926,food,cash,1697,0.1832036584031119,0.214647632273385,0.03858612269804218,0.26651387761989204
C,20260926,food,food,1719,0.12586156214771932,0.15143216433270107,0.02282369777341975,0.25929191586545164
C,20260926,food,medical,1755,0.1340570684370112,0.15969255176103822,0.005218178465772105,0.2357833581839812
C,20260926,medical,cash,1697,0.12583793072876212,0.12891425840745255,-0.016217660029654635,0.27400469457039484
C,20260926,medical,food,1719,0.1645725321341941,0.16045716281224948,0.010679388947053337,0.26089817553200884
C,20260926,medical,medical,1755,0.1711965133357597,0.1846165201569642,0.03389818363496866,0.2323596309388367
C,20260927,cash,cash,1697,0.14681668631196032,0.18311728415665823,0.03326348399235812,0.2672506046187684
C,20260927,cash,food,1719,0.17731711438110473,0.18663911713421094,0.02792895324579281,0.25861369383688454
C,20260927,cash,medical,1755,0.10014799408927588,0.11781145737365839,-0.041725927911584026,0.24128257857695365
C,20260927,food,cash,1697,0.1688199122843614,0.20292070995015538,0.0353162702401727,0.2669667113874167
C,20260927,food,food,1719,0.15873447623253897,0.1862621605845498,0.034005087167869985,0.2578041672624989
C,20260927,food,medical,1755,0.11929443124201992,0.15339240115738162,0.002865751965514751,0.2360619798290278
C,20260927,medical,cash,1697,0.11438898391827716,0.11830450868363629,-0.020372584965975715,0.27456427332249317
C,20260927,medical,food,1719,0.14976532402480974,0.15153725110453622,0.007990935681192246,0.2612524270622843
C,20260927,medical,medical,1755,0.18577096802121207,0.19769545056685514,0.03847697017992424,0.23180834911037504
C,20260928,cash,cash,1697,0.15046742352837983,0.19189503234169816,0.03617024601863461,0.2668485205361659
C,20260928,cash,food,1719,0.17683474390169923,0.18692471917995582,0.028425831994508988,0.2585475895773123
C,20260928,cash,medical,1755,0.10210390410733323,0.13066683321276487,-0.03666418564818241,0.24069566920213076
C,20260928,food,cash,1697,0.18678580119560176,0.20272912205806595,0.035329495408995215,0.2669648814136024
C,20260928,food,food,1719,0.1541325309030175,0.15991312043855238,0.025550517528836858,0.2589298848488984
C,20260928,food,medical,1755,0.12915266798410854,0.1634242668578689,0.006810564603852098,0.23559456878511842
C,20260928,medical,cash,1697,0.12342216293802212,0.12164647720130321,-0.019005470649223533,0.27438027849178154
C,20260928,medical,food,1719,0.13494556209981662,0.12532283686139997,-7.230055639895205e-05,0.262312032681377
C,20260928,medical,medical,1755,0.187727477926888,0.20622624572961665,0.0416056435285731,0.23143090441429318
C,20260929,cash,cash,1697,0.15593784860081603,0.19385207749045372,0.03688813920809375,0.26674912309603843
C,20260929,cash,food,1719,0.17387292068015214,0.1926525244166467,0.02989677029681992,0.25835179824298177
C,20260929,cash,medical,1755,0.11775459698104271,0.12754729508218787,-0.03757219072391349,0.2408010577436538
C,20260929,food,cash,1697,0.16947089486320904,0.20097575380208724,0.035222464907293194,0.266979690922417
C,20260929,food,food,1719,0.12819631248256155,0.15385983981819412,0.02342944316914175,0.25921153669935115
C,20260929,food,medical,1755,0.11145636197338071,0.13916983415451933,-0.003683260411404543,0.23683591910013668
C,20260929,medical,cash,1697,0.12460624778198555,0.13146881114547546,-0.014850707357666915,0.27382034553538004
C,20260929,medical,food,1719,0.14458943068720892,0.13460021458033683,0.002768972953784421,0.2619391444687264
C,20260929,medical,medical,1755,0.1977499066700874,0.20679896546957327,0.04150088175312794,0.23144355288710372
Q1,20260925,cash,cash,880,0.0429047107691196,0.08197471717739269,0.0008413754664330364,0.28721869541423595
Q1,20260925,cash,food,901,0.11644151431389746,0.11342295031900632,0.002572207817100325,0.2742195543350763
Q1,20260925,cash,medical,934,0.022003201795418693,0.035916877805123544,-0.10291554681211501,0.24605202665669268
Q1,20260925,food,cash,880,0.09699625040044106,0.11854670677620222,0.008738795092449347,0.2860813452068151
Q1,20260925,food,food,901,0.05313242434914296,0.03870194774498254,-0.007894519540600387,0.2756545909686311
Q1,20260925,food,medical,934,0.07055977087004069,0.06708564871874509,-0.04664002401497558,0.2396925227761555
