sample,amount,classification,outcome,N,N_food,N_cash,food_minus_cash,se,lo,hi
A,5000,ambiguous,outcome_ord,225,119,106,0.013477088948786964,0.19527857931755255,-0.36926892651361604,0.39622310441118996
A,5000,ambiguous,mpc_midpoint,225,119,106,0.022907087363247175,0.03163171089214498,-0.03909106598535699,0.08490524071185135
A,5000,binding,outcome_ord,56,27,29,0.3524904214559388,0.3032311046855606,-0.24184254372775993,0.9468233866396375
A,5000,binding,mpc_midpoint,56,27,29,0.05102171136653895,0.04004786725249246,-0.027472108448346272,0.12951553118142417
A,5000,strict_inframarginal,outcome_ord,898,453,445,-0.12293077361906901,0.09945433992942784,-0.3178612798807476,0.07199973264260956
A,5000,strict_inframarginal,mpc_midpoint,898,453,445,-0.01749708559664659,0.016759530671175756,-0.05034576571215107,0.01535159451885789
C,200,ambiguous,outcome_ord,35,18,17,-0.3529411764705883,0.550156386141106,-1.431247693307156,0.7253653403659794
C,200,ambiguous,mpc_midpoint,35,18,17,-0.07851307189542484,0.09054339049887249,-0.2559781172732149,0.09895197348236523
C,200,strict_inframarginal,outcome_ord,1134,559,575,-0.1722828031422572,0.09848474117695566,-0.36531289584909027,0.020747289564575888
C,200,strict_inframarginal,mpc_midpoint,1134,559,575,-0.02945438282647586,0.01707382844039459,-0.06291908656964926,0.004010320916697535
C,1000,ambiguous,outcome_ord,47,25,22,-0.552727272727273,0.43170966966507685,-1.3988782252708236,0.2934236798162776
C,1000,ambiguous,mpc_midpoint,47,25,22,-0.11413636363636362,0.07020801792664787,-0.2517440787725934,0.023471351499866205
C,1000,strict_inframarginal,outcome_ord,1090,554,536,-0.10327199741365378,0.09412324079400111,-0.28775354936989594,0.08120955454258838
C,1000,strict_inframarginal,mpc_midpoint,1090,554,536,-0.020525082170375547,0.01596912815873444,-0.051824573361495055,0.01077440902074396
C,5000,ambiguous,outcome_ord,209,108,101,0.016776677667766915,0.20375874004321473,-0.38259045281693393,0.41614380815246776
C,5000,ambiguous,mpc_midpoint,209,108,101,0.02324899156582319,0.03318350483926118,-0.041790677919128716,0.0882886610507751
C,5000,binding,outcome_ord,54,27,27,0.2962962962962963,0.30833793191475073,-0.30804605025661513,0.9006386428492077
C,5000,binding,mpc_midpoint,54,27,27,0.04629629629629628,0.040624835126815376,-0.03332838055226185,0.1259209731448544
C,5000,strict_inframarginal,outcome_ord,847,428,419,-0.09218098275823605,0.10205797746214228,-0.2922146185840349,0.10785265306756281
C,5000,strict_inframarginal,mpc_midpoint,847,428,419,-0.009734737804742072,0.017261454975619542,-0.043567189556956376,0.024097713947472232
Q1,200,ambiguous,outcome_ord,23,12,11,0.09090909090909083,0.6891524718642341,-1.259829753944808,1.4416479357629897
Q1,200,ambiguous,mpc_midpoint,23,12,11,-0.002462121212121221,0.11183050585981974,-0.22164991269736792,0.21672567027312548
