bootstrap,source,target,normalized_spearman_gap
31,cash,food,0.012195321916677548
31,cash,medical,0.02106342123110809
32,cash,food,-0.009525624009219427
32,cash,medical,-0.05265795394957809
33,cash,food,0.009292794271601248
33,cash,medical,-0.11551037866249575
34,cash,food,0.0031245717958819225
34,cash,medical,-0.05339482089205974
35,cash,food,-0.0015230121491998372
35,cash,medical,-0.08881792945858213
36,cash,food,0.05777230754382906
36,cash,medical,-0.09770135686479559
37,cash,food,-0.006034322203232287
37,cash,medical,-0.03768842810166059
38,cash,food,-0.017672479815300957
38,cash,medical,-0.038383361283049366
39,cash,food,0.044354506161106505
39,cash,medical,-0.027346183713188685
40,cash,food,0.032519492227954416
40,cash,medical,-0.03582105055787849
41,cash,food,-0.07174684771387488
41,cash,medical,-0.07535293742933168
42,cash,food,-0.0497449518919488
42,cash,medical,-0.08902550455489684
43,cash,food,-0.008120193041702722
43,cash,medical,-0.061669021867769305
44,cash,food,0.01707832593295998
44,cash,medical,-0.022395006391685568
45,cash,food,-0.03670303428305913
45,cash,medical,-0.032804841411871705
46,cash,food,0.02269608859329672
46,cash,medical,-0.07263181010920167
47,cash,food,0.04090578090690944
47,cash,medical,-0.02140240944270487
48,cash,food,0.010202976683729853
48,cash,medical,-0.0699279921609269
49,cash,food,-0.02020334213514957
49,cash,medical,-0.055502195041887636
50,cash,food,0.02940574080882377
50,cash,medical,-0.039457762133049495
51,cash,food,0.045633710197670124
51,cash,medical,-0.031068645563749664
52,cash,food,-0.03830607164965219
52,cash,medical,-0.04069111785198798
53,cash,food,0.04703266659814953
53,cash,medical,-0.027769601808438946
54,cash,food,-0.09021247245675115
54,cash,medical,-0.060162668147491216
55,cash,food,0.010642106014887714
55,cash,medical,-0.08123226909494499
56,cash,food,-0.005717971296318153
56,cash,medical,-0.002378203499446757
57,cash,food,-0.03959451651345741
57,cash,medical,-0.027141649743162924
58,cash,food,-0.015730380978882602
58,cash,medical,-0.023207506201024464
59,cash,food,0.004508973456759935
59,cash,medical,-0.13897493478401127
60,cash,food,0.008369786757354253
60,cash,medical,-0.05529876682887166
61,cash,food,0.06636484912770961
61,cash,medical,0.005936667731859788
62,cash,food,0.0016945384990175172
62,cash,medical,-0.011433235549937804
63,cash,food,-0.003383857403430779
63,cash,medical,-0.04828217111498426
64,cash,food,0.01889898966476468
64,cash,medical,-0.011735836925713575
65,cash,food,-0.021891740616311883
65,cash,medical,-0.016384938012081532
66,cash,food,-0.057789418460608755
66,cash,medical,-0.06008408956287495
67,cash,food,0.03224842852294374
67,cash,medical,-0.0012674224843453874
68,cash,food,-0.06659262836236482
68,cash,medical,0.012920627056257558
69,cash,food,0.054109461088625715
69,cash,medical,-0.04337775885918639
70,cash,food,0.021345075151357723
70,cash,medical,-0.011423340288080092
71,cash,food,0.02729339944565548
71,cash,medical,-0.01606748111207544
72,cash,food,-0.05077810418056358
72,cash,medical,0.006577434509955363
73,cash,food,-0.09310087060217312
73,cash,medical,-0.024753201662857716
74,cash,food,0.02120800206150572
74,cash,medical,0.006588813994537507
75,cash,food,0.08540964839198927
75,cash,medical,-0.054053611077218386
76,cash,food,0.009838340059347389
76,cash,medical,-0.01577560016049029
77,cash,food,0.03605296890721449
77,cash,medical,0.012556600158246847
78,cash,food,-0.03110898161704101
78,cash,medical,-0.00884559983690196
79,cash,food,0.022342509779123776
79,cash,medical,-0.0033759896608368672
80,cash,food,0.0723983245905179
80,cash,medical,0.011866791751492092
81,cash,food,-0.04540190775588546
81,cash,medical,-0.03347868010436246
82,cash,food,0.037447488352855746
82,cash,medical,0.060549710534589594
83,cash,food,0.03193158045612471
83,cash,medical,-0.027800140432850978
84,cash,food,0.009525285221433505
84,cash,medical,-0.0722591488336896
85,cash,food,-0.007330186158175614
85,cash,medical,-0.08316906864118384
86,cash,food,-0.005172456988147195
86,cash,medical,-0.024039440564593034
87,cash,food,-0.04353892129526303
87,cash,medical,-0.014012895380137752
88,cash,food,0.020730749761309092
88,cash,medical,-0.1265610899590111
89,cash,food,0.017294767781783058
89,cash,medical,-0.05115649336812242
90,cash,food,0.024971866037637264
90,cash,medical,-0.00931908705663545
91,cash,food,0.029181139425047686
91,cash,medical,-0.02160350080536845
92,cash,food,0.010393708920006905
