sample,outcome,amount,contrast,effect,se,lo,hi,p,N
A,mpc_alt,200,food-cash,-0.03054827444210398,0.01821425865826873,-0.0662482214123107,0.005151672528102738,0.09351067918672099,1845
A,mpc_alt,200,medical-cash,-0.08496884981499642,0.01720098202910795,-0.118682774592048,-0.051254925037944835,7.821582645774323e-07,1845
A,mpc_alt,200,medical-food,-0.05442057537289244,0.016453409881425865,-0.08666925874048714,-0.02217189200529774,0.0009411387667674596,1845
A,mpc_alt,1000,food-cash,-0.029358258197616033,0.016501645664989247,-0.06170148370099496,0.0029849673057628923,0.0752215767929787,1822
A,mpc_alt,1000,medical-cash,-0.05306010030079175,0.01604556832205576,-0.08450941421202104,-0.021610786389562466,0.0009435533202810086,1822
A,mpc_alt,1000,medical-food,-0.02370184210317572,0.015096275074955813,-0.05329054125008911,0.0058868570437376755,0.11640447460607169,1822
A,mpc_alt,5000,food-cash,-0.003978397904553593,0.015707836234463507,-0.03476575692410207,0.02680896111499488,0.8000559259227255,1813
A,mpc_alt,5000,medical-cash,-0.024959344066137312,0.014521837381181471,-0.053422145333253,0.003503457200978371,0.08566070539425943,1813
A,mpc_alt,5000,medical-food,-0.02098094616158372,0.015032961239264099,-0.05044555019054135,0.008483657867373914,0.16281603371564102,1813
C,outcome_ord,pooled,food-cash,-0.12237932799317663,0.05375326973070727,-0.2277357366653629,-0.017022919320990385,0.02280497052738461,5171
C,outcome_ord,pooled,medical-cash,-0.3250314364044473,0.052222115150460664,-0.4273867820993502,-0.22267609070954442,4.845783883085892e-10,5171
C,outcome_ord,pooled,medical-food,-0.20265210841127068,0.051513572647544636,-0.30361871080045816,-0.10168550602208319,8.355921967622098e-05,5171
C,outcome_ord,200,food-cash,-0.17947561946695378,0.097108747371355,-0.3698087643148096,0.010857525380902011,0.06457455826021269,1750
C,outcome_ord,200,medical-cash,-0.5015641717448944,0.09424384929116557,-0.6862821163555789,-0.31684622713420996,1.0264211859823165e-07,1750
C,outcome_ord,200,medical-food,-0.32208855227794064,0.0927915866583123,-0.5039600621282327,-0.14021704242764854,0.0005183376757931508,1750
C,outcome_ord,1000,food-cash,-0.12482589559306945,0.09235516598317546,-0.3058420209200934,0.05619022973395446,0.1765079777916423,1717
C,outcome_ord,1000,medical-cash,-0.31568409343715276,0.09010752625468481,-0.492294844896335,-0.13907334197797053,0.00045933256890502244,1717
C,outcome_ord,1000,medical-food,-0.1908581978440833,0.08668876991197323,-0.3607681868715509,-0.02094820881661577,0.02769014913667248,1717
C,outcome_ord,5000,food-cash,-0.05390617643143125,0.08890663329023334,-0.2281631776802886,0.1203508248174261,0.5442999912105068,1704
C,outcome_ord,5000,medical-cash,-0.14871752257492643,0.08610594193376071,-0.3174851687650974,0.020050123615244553,0.08414146817168329,1704
C,outcome_ord,5000,medical-food,-0.09481134614349518,0.08808912261888703,-0.26746602647651374,0.07784333418952341,0.2817879141893139,1704
C,mpc_midpoint,pooled,food-cash,-0.019638872691534165,0.009143831539911653,-0.037560782509761005,-0.0017169628733073247,0.031731808618577474,5171
C,mpc_midpoint,pooled,medical-cash,-0.05144612496999065,0.0086846562510869,-0.06846805122212098,-0.03442419871786033,3.145952213114259e-09,5171
C,mpc_midpoint,pooled,medical-food,-0.03180725227845649,0.008479964027845472,-0.04842798177303362,-0.015186522783879362,0.00017622125752991786,5171
C,mpc_midpoint,200,food-cash,-0.03116275937983043,0.016795599161429576,-0.0640821337362324,0.0017566149765715355,0.06353738833104552,1750
C,mpc_midpoint,200,medical-cash,-0.08083075545424942,0.015961940923218964,-0.1121161596637586,-0.04954535124474025,4.106189544573055e-07,1750
C,mpc_midpoint,200,medical-food,-0.04966799607441899,0.015378340767641663,-0.07980954397899664,-0.019526448169841334,0.0012390414220967377,1750
