feature_set,model,fold,r2,rmse,mae
O+S,hist_gradient_boosting,7,0.07197282833815744,0.24521135350719656,0.18940678325972765
O+S,hist_gradient_boosting,8,0.057068492437438834,0.2540486791351321,0.1970135706178213
O+S,hist_gradient_boosting,9,0.016176446131660804,0.25095160027032376,0.19220789795620427
O+A,ridge,0,0.04668182338825122,0.2586177048024368,0.19915551874208684
O+A,ridge,1,0.046889363481964486,0.24797811997519392,0.19360476643803434
O+A,ridge,2,0.040024216721707306,0.24056380498974786,0.18537806051257574
O+A,ridge,3,0.01585201308739259,0.25050178896529857,0.19563363475876136
O+A,ridge,4,0.04371231158725186,0.26312394666685773,0.19927165207901987
O+A,ridge,5,0.0373274305714234,0.2523097104173006,0.19588591153790685
O+A,ridge,6,0.032987843373608494,0.2560393273762878,0.1953003209305611
O+A,ridge,7,0.05485774627945195,0.24746217067171947,0.19210250617342686
O+A,ridge,8,0.03560380404223884,0.25692396265380557,0.2000515096359707
O+A,ridge,9,0.025721562281250554,0.24973125923099143,0.1904487690839547
O+A,elastic_net,0,0.04335813678035261,0.25906814009336393,0.19986993538206066
O+A,elastic_net,1,0.04485379970346426,0.24824278287691484,0.19367993835007735
O+A,elastic_net,2,0.04301151526899727,0.24018921436951265,0.185412258494693
O+A,elastic_net,3,0.019196106502018306,0.2500758295445183,0.1951829592392786
O+A,elastic_net,4,0.04281327859696493,0.26324760272720077,0.19913420214566982
O+A,elastic_net,5,0.03465528584143929,0.2526596429245986,0.1960399022954062
O+A,elastic_net,6,0.03309899486387535,0.25602461196115395,0.195537354735143
O+A,elastic_net,7,0.04992312938806054,0.2481073334814713,0.19303785435644605
O+A,elastic_net,8,0.03778268971862897,0.2566335610017683,0.1998153918043118
O+A,elastic_net,9,0.030364849326886323,0.24913545480103624,0.19011097892865414
O+A,random_forest,0,0.05339133598535928,0.2577060140933423,0.1992510843380632
O+A,random_forest,1,0.06054040269308336,0.24619586743205596,0.19271114402924938
O+A,random_forest,2,0.050072729750157086,0.23930144625653457,0.18473821874025836
O+A,random_forest,3,0.019854098233341944,0.24999193130760305,0.19453784424715906
O+A,random_forest,4,0.04813908982464166,0.26251422299470634,0.19836126282608765
O+A,random_forest,5,0.05523950114086895,0.24995137488729785,0.19397966419819251
O+A,random_forest,6,0.042651302397542445,0.2547568006193992,0.19367921498506807
O+A,random_forest,7,0.05997726177965834,0.24679105124537157,0.19220066527399043
O+A,random_forest,8,0.04732922365068415,0.2553573066358206,0.19860806172976306
O+A,random_forest,9,0.03937922704613295,0.24797468566357253,0.18955146795867098
O+A,hist_gradient_boosting,0,0.043229989591128004,0.2590854912795974,0.1981280842180494
O+A,hist_gradient_boosting,1,0.0636174997840665,0.24579234292663235,0.1900448323527764
O+A,hist_gradient_boosting,2,0.04811675920133185,0.2395476892572527,0.1829632381945751
O+A,hist_gradient_boosting,3,0.007677448265181797,0.2515400009258292,0.19486189179214083
O+A,hist_gradient_boosting,4,0.049785238717459324,0.26228712863177994,0.19895284405169486
O+A,hist_gradient_boosting,5,0.04755012916651635,0.25096648624299256,0.19364925130533323
O+A,hist_gradient_boosting,6,0.04237365555601835,0.25479373976893716,0.19157125622398619
O+A,hist_gradient_boosting,7,0.06615957709512255,0.2459781682542127,0.19026372220548765
O+A,hist_gradient_boosting,8,0.049997498342911784,0.25499944890478005,0.19710387856495637
O+A,hist_gradient_boosting,9,0.006106100065271458,0.25223269145671484,0.1929609047543487
ALL,ridge,0,0.04662758748954421,0.25862506129919477,0.19920649606681048
