sample,outcome,amount,contrast,effect,se,lo,hi,p,N
A,mpc_50plus,1000,food-cash,-0.037620617386369265,0.019957588714136953,-0.07673677248434074,0.0014955377116022128,0.05942603159860685,5480
A,mpc_50plus,1000,medical-cash,-0.05240080506037923,0.019540851752909396,-0.09070017072331803,-0.014101439397440435,0.007327037295870518,5480
A,mpc_50plus,1000,medical-food,-0.01478018767400997,0.018114989827764567,-0.050284915316737955,0.02072453996871802,0.41455204413044566,5480
A,mpc_50plus,5000,food-cash,0.006133786195382553,0.01930935078963104,-0.03171184591714434,0.04397941830790945,0.7507437273658712,5480
A,mpc_50plus,5000,medical-cash,-0.010426411399978137,0.01851053128877627,-0.04670638606068142,0.025853563260725146,0.5732516154354139,5480
A,mpc_50plus,5000,medical-food,-0.016560197595360683,0.01855903446333524,-0.052935236731335406,0.01981484154061404,0.3722329874379986,5480
A,mpc_50plus,pooled,food-cash,-0.018150678315925865,0.011720156810916389,-0.041121763558483806,0.0048204069266320725,0.12146059574185791,5480
A,mpc_50plus,pooled,medical-cash,-0.043886018908246144,0.011230612940884784,-0.06589761579668978,-0.021874422019802508,9.317365956464063e-05,5480
A,mpc_50plus,pooled,medical-food,-0.025735340592320282,0.01085608898198666,-0.04701288400997623,-0.004457797174664328,0.017759699108487174,5480
C,outcome_ord,200,food-cash,-0.17947561946695773,0.09711020470460636,-0.36980812321929835,0.010856884285382867,0.06457856930686824,5171
C,outcome_ord,200,medical-cash,-0.5015641717448971,0.09424558506016555,-0.6862821241647278,-0.3168462193250664,1.0269745195353747e-07,5171
C,outcome_ord,200,medical-food,-0.32208855227793937,0.09279218897385362,-0.5039579007133272,-0.14021920384255154,0.0005183811704060724,5171
C,outcome_ord,1000,food-cash,-0.12482589559307516,0.09235417408940211,-0.3058367506302455,0.05618495944409521,0.17650333149411446,5171
C,outcome_ord,1000,medical-cash,-0.31568409343715453,0.09010653796389585,-0.49228966261798146,-0.13907852425632758,0.0004592663040599488,5171
C,outcome_ord,1000,medical-food,-0.1908581978440794,0.0866894111204632,-0.3607663214811733,-0.02095007420698547,0.027691300363156406,5171
C,outcome_ord,5000,food-cash,-0.053906176431434416,0.08890393623190887,-0.2281546895298214,0.12034233666695257,0.5442877793476063,5171
