variable,group,type,N,mean,se,lo,hi
q42_age,"(13.999, 28.0]",food,669,2.618834080717489,0.059569408131128446,2.5020780407804772,2.7355901206545004
q42_age,"(13.999, 28.0]",medical,655,2.4656488549618323,0.05607516780513771,2.3557415260637624,2.575556183859902
q42_age,"(28.0, 36.0]",cash,584,2.9845890410958904,0.066172557496054,2.8548908284036245,3.1142872537881563
q42_age,"(28.0, 36.0]",food,605,2.8413223140495867,0.06348496098979302,2.7168917905095924,2.965752837589581
q42_age,"(28.0, 36.0]",medical,617,2.5688816855753647,0.06050356577784822,2.4502946966507824,2.687468674499947
q42_age,"(36.0, 81.0]",cash,573,2.7888307155322862,0.06946278692709518,2.65268365315518,2.9249777779093926
q42_age,"(36.0, 81.0]",food,562,2.626334519572954,0.06576317917799027,2.497438688384093,2.7552303507618148
q42_age,"(36.0, 81.0]",medical,591,2.4805414551607443,0.06234967816701941,2.358336085953386,2.6027468243681025
q43_edu,"(0.999, 3.0]",cash,836,2.65311004784689,0.0535184682834355,2.5482138500113565,2.7580062456824233
q43_edu,"(0.999, 3.0]",food,853,2.5310668229777256,0.051857954673899184,2.429425231816883,2.632708414138568
q43_edu,"(0.999, 3.0]",medical,850,2.4376470588235293,0.05135448396965388,2.3369922702430075,2.538301847404051
q43_edu,"(3.0, 4.0]",cash,875,2.938285714285714,0.05386248188353109,2.8327152497939934,3.043856178777435
q43_edu,"(3.0, 4.0]",food,897,2.819397993311037,0.05211359379233584,2.7172553494780587,2.921540637144015
q43_edu,"(3.0, 4.0]",medical,922,2.5802603036876355,0.04814809778268505,2.4858900320335726,2.6746305753416983
q43_edu,"(4.0, 5.0]",cash,87,3.1379310344827585,0.18364890858208327,2.7779791736618753,3.4978828953036416
q43_edu,"(4.0, 5.0]",food,86,3.011627906976744,0.1882267937030184,2.642703391318828,3.3805524226346604
q43_edu,"(4.0, 5.0]",medical,91,2.3626373626373627,0.16203564894885572,2.0450474906976055,2.68022723457712
