feature_set,model,fold,r2,rmse
A,random_forest,2,-0.005639039819036906,0.24621879865242613
A,random_forest,3,-0.00940161373191728,0.2536954188035359
A,random_forest,4,0.005139558177473802,0.26837816159553185
A,random_forest,5,0.003964195404674187,0.2566446064658992
A,random_forest,6,0.004630977973611228,0.25976627754633286
A,random_forest,7,0.011634402420724999,0.253057398268512
A,random_forest,8,-0.008549285643023596,0.26273953711108267
A,random_forest,9,-0.00657713441447183,0.25383697982115117
A,hist_gradient_boosting,0,-0.12708709620800263,0.2812017733039818
A,hist_gradient_boosting,1,-0.029003986480611088,0.25766191701863905
A,hist_gradient_boosting,2,-0.09842817787848945,0.2573273681753908
A,hist_gradient_boosting,3,-0.1292938061571236,0.26833918759143865
A,hist_gradient_boosting,4,-0.06405162074148962,0.2775539683866698
A,hist_gradient_boosting,5,-0.07814857028928168,0.2670139627901221
A,hist_gradient_boosting,6,-0.06958087084502473,0.26927592366635517
A,hist_gradient_boosting,7,-0.051984533316059345,0.26107477106297944
A,hist_gradient_boosting,8,-0.07286889671069852,0.27098808434069444
A,hist_gradient_boosting,9,-0.10711268467407442,0.2662117834050841
ALL,ridge,0,0.039822987856558245,0.25954637544701215
ALL,ridge,1,0.05863983742980583,0.24644477377304128
ALL,ridge,2,0.03758569537990508,0.24086915014716143
ALL,ridge,3,0.02869542920551571,0.24886186057905701
ALL,ridge,4,0.047601367412809514,0.2625883618995396
ALL,ridge,5,0.04402769544529672,0.25143013111057005
ALL,ridge,6,0.03517494149660827,0.2557496205114441
ALL,ridge,7,0.052230824874197834,0.24780582931234119
ALL,ridge,8,0.04220481382810881,0.2560431681956543
ALL,ridge,9,0.03257939717482483,0.24885079218099582
ALL,random_forest,0,0.0497731710913053,0.25819805140584673
ALL,random_forest,1,0.07975972906015028,0.24366453468776836
ALL,random_forest,2,0.04573784757494148,0.23984683686161207
ALL,random_forest,3,0.02890067606075908,0.2488355656276945
ALL,random_forest,4,0.04286481579441226,0.2632405156949629
ALL,random_forest,5,0.05032311185352045,0.25060088537799124
ALL,random_forest,6,0.03815142831830143,0.25535482179698804
ALL,random_forest,7,0.066513067524827,0.2459316082872786
ALL,random_forest,8,0.052841618609069885,0.25461745373818634
ALL,random_forest,9,0.034563896989687204,0.24859542348758007
ALL,hist_gradient_boosting,0,0.025524276831150883,0.2614717829605989
ALL,hist_gradient_boosting,1,0.04565034290303549,0.24813925037941048
ALL,hist_gradient_boosting,2,-0.022449878597896822,0.2482682365601401
ALL,hist_gradient_boosting,3,-0.03112188142259753,0.2564103958011031
ALL,hist_gradient_boosting,4,0.03606195271222967,0.26417435370107684
ALL,hist_gradient_boosting,5,0.004632664977191725,0.2565584710559753
ALL,hist_gradient_boosting,6,-0.0037749623056910764,0.26086084098053347
ALL,hist_gradient_boosting,7,0.047137117217415536,0.24847084304144504
ALL,hist_gradient_boosting,8,0.018355957698052205,0.25921127303289726
ALL,hist_gradient_boosting,9,-0.04577427728386163,0.25873211531918316
O+S,ridge,0,0.0393660501656804,0.25960812573557024
O+S,ridge,1,0.05756901550943194,0.24658490263721147
O+S,ridge,2,0.03711969300298368,0.24092745768263543
O+S,ridge,3,0.03092381252101506,0.24857622512028696
O+S,ridge,4,0.04129098030002909,0.2634568524803318
O+S,ridge,5,0.04032030836736977,0.2519171989961797
O+S,ridge,6,0.03564416896278788,0.2556874230490624
O+S,ridge,7,0.050063678424463465,0.2480889809999598
O+S,ridge,8,0.042261393990608354,0.2560356054211555
O+S,ridge,9,0.03378346022496259,0.248695882655376
O+S,random_forest,0,0.05814160511790667,0.25705859102321565
O+S,random_forest,1,0.0793095594865928,0.24372412616166964
