form_vs_cash,bin_left,bin_right,count,share
medical,-0.19303872416624407,-0.18287879131538914,8,0.0014553392759687103
medical,-0.18287879131538914,-0.17271885846453416,31,0.005639439694378752
medical,-0.17271885846453416,-0.16255892561367924,26,0.004729852646898308
medical,-0.16255892561367924,-0.15239899276282426,53,0.009641622703292704
medical,-0.15239899276282426,-0.14223905991196933,66,0.012006549026741859
medical,-0.14223905991196933,-0.13207912706111438,97,0.017645988721120612
medical,-0.13207912706111438,-0.12191919421025943,160,0.029106785519374203
medical,-0.12191919421025943,-0.11175926135940448,178,0.0323812988903038
medical,-0.11175926135940448,-0.10159932850854952,211,0.03838457340367473
medical,-0.10159932850854952,-0.09143939565769457,247,0.04493360014553393
medical,-0.09143939565769457,-0.08127946280683962,329,0.059850827724213206
medical,-0.08127946280683962,-0.07111952995598467,380,0.06912861560851373
medical,-0.07111952995598467,-0.060959597105129715,411,0.07476805530289249
medical,-0.060959597105129715,-0.05079966425427476,421,0.07658722939785337
medical,-0.05079966425427476,-0.04063973140341981,424,0.07713298162634163
medical,-0.04063973140341981,-0.030479798552564857,439,0.07986174276878297
medical,-0.030479798552564857,-0.020319865701709905,404,0.07349463343641986
medical,-0.020319865701709905,-0.01015993285085498,380,0.06912861560851373
medical,-0.01015993285085498,0.0,317,0.05766781881026014
medical,0.0,0.010159932850854925,274,0.04984537020192832
medical,0.010159932850854925,0.020319865701709905,195,0.03547389485173731
medical,0.020319865701709905,0.03047979855256483,157,0.028561033290885936
medical,0.03047979855256483,0.04063973140341981,97,0.017645988721120612
medical,0.04063973140341981,0.050799664254274735,56,0.01018737493178097
medical,0.050799664254274735,0.060959597105129715,48,0.008732035655812261
medical,0.060959597105129715,0.07111952995598464,28,0.005093687465890485
medical,0.07111952995598464,0.08127946280683956,17,0.0030925959614335093
medical,0.08127946280683956,0.09143939565769454,7,0.0012734218664726214
medical,0.09143939565769454,0.10159932850854947,2,0.00036383481899217757
medical,0.10159932850854947,0.11175926135940445,3,0.0005457522284882663
medical,0.11175926135940445,0.12191919421025937,2,0.00036383481899217757
medical,0.12191919421025937,0.13207912706111435,3,0.0005457522284882663
medical,0.13207912706111435,0.14223905991196928,2,0.00036383481899217757
medical,0.14223905991196928,0.15239899276282426,1,0.00018191740949608878
medical,0.15239899276282426,0.16255892561367918,1,0.00018191740949608878
medical,0.16255892561367918,0.17271885846453416,0,0.0
medical,0.17271885846453416,0.1828787913153891,0,0.0
medical,0.1828787913153891,0.19303872416624407,0,0.0
medical,0.19303872416624407,0.203198657017099,0,0.0
medical,0.203198657017099,0.21335858986795397,0,0.0
medical,0.21335858986795397,0.2235185227188089,0,0.0
medical,0.2235185227188089,0.23367845556966382,0,0.0
medical,0.23367845556966382,0.2438383884205188,0,0.0
medical,0.2438383884205188,0.2539983212713738,0,0.0
