method,contrast,feature_set,variable,model_importance
t_rf,restricted-cash,O,q49_citytier,0.059517130757690016
t_rf,restricted-cash,O,q41_gender,0.049906260902690076
t_rf,restricted-cash,O,q43_edu,0.04485346357362735
t_rf,restricted-cash,O,q23_hukou,0.04377085150877031
t_rf,restricted-cash,O,q26_housing,0.04113475886306151
t_rf,restricted-cash,O,q24_workstat,0.03336256302623926
t_rf,restricted-cash,O,q27_minorchild,0.027059585733610073
t_rf,restricted-cash,S,q07_emergfund,0.11187193012316646
t_rf,restricted-cash,S,q18_ses_now,0.08676971557679648
t_rf,restricted-cash,S,q09_gain,0.0781758635630803
t_rf,restricted-cash,S,q20_ses_next1,0.07745063737676487
t_rf,restricted-cash,S,q06_socsec,0.0701338796392201
t_rf,restricted-cash,S,q17e_fut_welfare,0.06974947312463363
t_rf,restricted-cash,S,q17c_fut_price,0.06925247499273904
t_rf,restricted-cash,S,q13_pressure,0.06731165322769903
t_rf,restricted-cash,S,q11_mobility,0.06589418663431054
t_rf,restricted-cash,S,q15_fut_self,0.06450197042765402
t_rf,restricted-cash,S,q10_effort,0.0629501432419065
t_rf,restricted-cash,S,q19_ses_past5,0.06198391725598192
t_rf,restricted-cash,S,q17b_fut_job,0.057852072021669386
t_rf,restricted-cash,S,q17a_fut_econ,0.05610208279437773
t_rf,restricted-cash,A,q03a_fair_dist,0.09577921328304889
t_rf,restricted-cash,A,q03b_fair_opp,0.0878126663359164
t_rf,restricted-cash,A,q21_order,0.08727683516267118
t_rf,restricted-cash,A,q05_trust_soc,0.0867711019259813
t_rf,restricted-cash,A,q02_safety,0.08396857651026693
t_rf,restricted-cash,A,q12_voice,0.07895364775079308
t_rf,restricted-cash,A,q22_vitality,0.07453005536956137
t_rf,restricted-cash,A,q17d_fut_fair,0.07117571367575619
t_rf,restricted-cash,A,q08_support,0.07060786531952223
t_rf,restricted-cash,A,q01_lifesat,0.0688103448921258
t_rf,restricted-cash,A,q04_trust_gov,0.06637006280068342
t_rf,restricted-cash,A,q03c_fair_rule,0.06610798156706728
t_rf,restricted-cash,A,q16_fut_society,0.061835935406605945
t_rf,restricted-cash,ALL,q29_foodexp,0.13444209808068877
t_rf,restricted-cash,ALL,q42_age,0.058506587362949315
t_rf,restricted-cash,ALL,q30_medexp,0.0429830205541204
t_rf,restricted-cash,ALL,q31_gotsubsidy,0.03491596417255626
t_rf,restricted-cash,ALL,q07_emergfund,0.03061404468225013
t_rf,restricted-cash,ALL,q28_hhsize,0.02990113214229096
t_rf,restricted-cash,ALL,income_h,0.029775247137477635
t_rf,restricted-cash,ALL,q18_ses_now,0.026568482458553068
t_rf,restricted-cash,ALL,q25_unittype,0.02568003536209865
t_rf,restricted-cash,ALL,q23_hukou,0.024691490707360587
t_rf,restricted-cash,ALL,q03a_fair_dist,0.024030688116275456
t_rf,restricted-cash,ALL,q20_ses_next1,0.0238839014477423
t_rf,restricted-cash,ALL,q22_vitality,0.023666946277974797
t_rf,restricted-cash,ALL,q21_order,0.02317008931237145
t_rf,restricted-cash,ALL,q41_gender,0.022941785818090477
t_rf,restricted-cash,ALL,q17c_fut_price,0.022615540557174147
t_rf,restricted-cash,ALL,q05_trust_soc,0.021450643657081374
t_rf,restricted-cash,ALL,q03b_fair_opp,0.019880170990510638
t_rf,restricted-cash,ALL,q49_citytier,0.019820669698066753
t_rf,restricted-cash,ALL,q43_edu,0.019468113022071444
t_rf,restricted-cash,ALL,q02_safety,0.019091463132464664
t_rf,restricted-cash,ALL,q08_support,0.01903176775502697
t_rf,restricted-cash,ALL,q17b_fut_job,0.018961279322032946
t_rf,restricted-cash,ALL,q26_housing,0.018844708318691027
t_rf,restricted-cash,ALL,q11_mobility,0.018440492044336766
t_rf,restricted-cash,ALL,q19_ses_past5,0.018051886710961116
t_rf,restricted-cash,ALL,q12_voice,0.017636138754332936
t_rf,restricted-cash,ALL,q15_fut_self,0.01689926866485997
t_rf,restricted-cash,ALL,q01_lifesat,0.01683142082166275
t_rf,restricted-cash,ALL,q17d_fut_fair,0.01633519780834162
t_rf,restricted-cash,ALL,q13_pressure,0.016113964294993448
t_rf,restricted-cash,ALL,q16_fut_society,0.015455102652046877
t_rf,restricted-cash,ALL,q04_trust_gov,0.015392588044160504
t_rf,restricted-cash,ALL,q17a_fut_econ,0.015371192876060247
t_rf,restricted-cash,ALL,q06_socsec,0.015289635956172404
t_rf,restricted-cash,ALL,q09_gain,0.01499516024935452
t_rf,restricted-cash,ALL,q03c_fair_rule,0.014906357256065664
t_rf,restricted-cash,ALL,q17e_fut_welfare,0.01466917744677115
t_rf,restricted-cash,ALL,q24_workstat,0.014535601968637178
t_rf,restricted-cash,ALL,q10_effort,0.01402709131956581
t_rf,restricted-cash,ALL,q27_minorchild,0.010113853045756824
