sample,variable,contrast,spec,se_type,amount,effect,se,lo,hi,p,N
R,q43_edu,medical-cash,saturated,HC3,1000,-0.17566476582806415,0.09069442973732983,-0.3534225817116291,0.0020930500555007836,0.05275928745977678,5497
R,q43_edu,medical-cash,saturated,HC3,5000,-0.01604011293758144,0.08835327473751722,-0.1892093493392878,0.15712912346412494,0.8559396580284826,5497
R,q43_edu,medical-cash,saturated,HC3,pooled,-0.10095456870099738,0.053174242479310234,-0.20517416886564527,0.0032650314636505084,0.05762215661149414,5497
R,q43_edu,medical-food,saturated,HC3,200,-0.08243806781364942,0.09114363229611872,-0.26107630453420383,0.09620016890690498,0.3657381709084121,5497
R,q43_edu,medical-food,saturated,HC3,1000,-0.2615219892967513,0.0881125410866867,-0.43421939641296303,-0.0888245821805396,0.002997004251243764,5497
R,q43_edu,medical-food,saturated,HC3,5000,-0.11046490155666881,0.08660277308883384,-0.28020321777207774,0.05927341465874013,0.20211980776994742,5497
R,q43_edu,medical-food,saturated,HC3,pooled,-0.1514749862223565,0.0511761901143266,-0.2517784757124114,-0.05117149673230162,0.0030776661079618224,5497
R,q43_edu,medical-cash,saturated,province_cluster,200,-0.11115882733734653,0.10130523810234301,-0.3097134454631937,0.0873957907885006,0.2725249827008599,5497
R,q43_edu,medical-cash,saturated,province_cluster,1000,-0.17566476582806415,0.11672591795292019,-0.40444336107816503,0.05311382942203674,0.13234112696763825,5497
R,q43_edu,medical-cash,saturated,province_cluster,5000,-0.01604011293758144,0.09745187317788609,-0.2070422745922031,0.1749620487170402,0.8692625902962701,5497
R,q43_edu,medical-cash,saturated,province_cluster,pooled,-0.10095456870099738,0.07171714212954457,-0.2415175843490449,0.039608446947050166,0.15922674684659754,5497
R,q43_edu,medical-food,saturated,province_cluster,200,-0.08243806781364942,0.113443612446695,-0.3047834624852914,0.13990732685799256,0.46741734398393264,5497
R,q43_edu,medical-food,saturated,province_cluster,1000,-0.2615219892967513,0.10755916931469446,-0.4723340873605982,-0.050709891232904425,0.015039586332879863,5497
R,q43_edu,medical-food,saturated,province_cluster,5000,-0.11046490155666881,0.09301903105965491,-0.29277885231040507,0.07184904919706746,0.2350101057984333,5497
R,q43_edu,medical-food,saturated,province_cluster,pooled,-0.1514749862223565,0.05537214443885684,-0.26000239506926576,-0.04294757737544726,0.006227025888699951,5497
R,q43_edu,medical-cash,controls,HC1,200,-0.11037917039528261,0.09544647565382412,-0.297450825128057,0.07669248433749179,0.24749673897331914,5497
R,q43_edu,medical-cash,controls,HC1,1000,-0.14588609569941569,0.08859872802605817,-0.31953641170654923,0.027764220307717857,0.09964161340199461,5497
R,q43_edu,medical-cash,controls,HC1,5000,-0.03230090301005677,0.0847501109153577,-0.19840806808993278,0.13380626206981922,0.7031059713387358,5497
R,q43_edu,medical-cash,controls,HC1,pooled,-0.09618872303491835,0.051808260123328724,-0.1977310469783253,0.005353600908488604,0.06336394178286155,5497
R,q43_edu,medical-food,controls,HC1,200,-0.08721949549040212,0.08950944956519243,-0.2626547929141837,0.08821580193337944,0.3298497195484352,5497
R,q43_edu,medical-food,controls,HC1,1000,-0.25091892448377845,0.08661782790807762,-0.420686747602699,-0.08115110136485795,0.003769289632118126,5497
R,q43_edu,medical-food,controls,HC1,5000,-0.09590136832793604,0.08377055854539707,-0.26008864604171833,0.06828590938584626,0.252287895745418,5497
R,q43_edu,medical-food,controls,HC1,pooled,-0.14467992943403887,0.04996408354710448,-0.2426077337069139,-0.046752125161163824,0.0037833962351939165,5497
R,q43_edu,medical-cash,controls,HC3,200,-0.11037917039528261,0.0964469929854848,-0.29941180306402004,0.07865346227345482,0.2524353035233039,5497
R,q43_edu,medical-cash,controls,HC3,1000,-0.14588609569941569,0.08934588307652151,-0.3210008086963246,0.02922861729749321,0.10250603318981108,5497
R,q43_edu,medical-cash,controls,HC3,5000,-0.03230090301005677,0.08555594563856067,-0.1999874751249024,0.13538566910478889,0.705771377653952,5497
R,q43_edu,medical-cash,controls,HC3,pooled,-0.09618872303491835,0.05229861630896669,-0.19869212744177217,0.006314681371935457,0.06588266000070025,5497
R,q43_edu,medical-food,controls,HC3,200,-0.08721949549040212,0.09038748394395814,-0.2643757086737525,0.08993671769294823,0.33456934141731687,5497
R,q43_edu,medical-food,controls,HC3,1000,-0.25091892448377845,0.08734868780232453,-0.42211920667316766,-0.07971864229438924,0.004070932241102768,5497
R,q43_edu,medical-food,controls,HC3,5000,-0.09590136832793604,0.08449858706664033,-0.2615155557230731,0.06971281906720102,0.2563977714114476,5497
R,q43_edu,medical-food,controls,HC3,pooled,-0.14467992943403887,0.05041335409001333,-0.24348828779033005,-0.04587157107774771,0.004106365456040419,5497
R,q43_edu,medical-cash,controls,province_cluster,200,-0.11037917039528261,0.10364121238730374,-0.31351221398846446,0.09275387319789924,0.2868703444047509,5497
R,q43_edu,medical-cash,controls,province_cluster,1000,-0.14588609569941569,0.10768519787013353,-0.3569452051929467,0.06517301379411536,0.17549848288153924,5497
R,q43_edu,medical-cash,controls,province_cluster,5000,-0.03230090301005677,0.08224786490904165,-0.19350375603709413,0.12890195001698057,0.6945216136148675,5497
R,q43_edu,medical-cash,controls,province_cluster,pooled,-0.09618872303491835,0.06937876444061149,-0.23216860263040506,0.039791156560568364,0.1656159813849778,5497
R,q43_edu,medical-food,controls,province_cluster,200,-0.08721949549040212,0.11584120450002376,-0.3142640842361879,0.1398250932553837,0.4514962469194954,5497
R,q43_edu,medical-food,controls,province_cluster,1000,-0.25091892448377845,0.10422854829336761,-0.45520312529967266,-0.04663472366788421,0.01606693423855919,5497
R,q43_edu,medical-food,controls,province_cluster,5000,-0.09590136832793604,0.08591862657443321,-0.26429878201497115,0.07249604535909905,0.26434152867121374,5497
R,q43_edu,medical-food,controls,province_cluster,pooled,-0.14467992943403887,0.05874253289050828,-0.25981317826009465,-0.029546680607983086,0.01377990782314934,5497
R,q43_edu,medical-cash,province_FE,HC1,200,-0.10496606315765615,0.09667806806561242,-0.29445159466116844,0.08451946834585612,0.2775994512181825,5497
R,q43_edu,medical-cash,province_FE,HC1,1000,-0.18887973672234887,0.09066616080882282,-0.36658214652415855,-0.011177326920539188,0.03722898710305661,5497
R,q43_edu,medical-cash,province_FE,HC1,5000,-0.003183174144341952,0.08853623086388264,-0.17671099796447548,0.1703446496757916,0.9713195557538808,5497
R,q43_edu,medical-cash,province_FE,HC1,pooled,-0.09900965800811566,0.053157290795230704,-0.20319603348249038,0.005176717466259043,0.06252150931250981,5497
R,q43_edu,medical-food,province_FE,HC1,200,-0.0711265095749532,0.09116778330762029,-0.2498120814082409,0.1075590622583345,0.43528991386497085,5497
R,q43_edu,medical-food,province_FE,HC1,1000,-0.2709157066706077,0.08834199350259253,-0.44406283225816057,-0.09776858108305489,0.002164579658008026,5497
R,q43_edu,medical-food,province_FE,HC1,5000,-0.10774800378686056,0.08655900388029011,-0.27740053392989195,0.06190452635617086,0.21320801271146272,5497
R,q43_edu,medical-food,province_FE,HC1,pooled,-0.1499300733441405,0.05126177871238604,-0.25040131340387917,-0.04945883328440183,0.003446858148070373,5497
R,q43_edu,medical-cash,province_FE,HC3,200,-0.10496606315765615,0.09743021602249032,-0.2959257775676945,0.08599365125238219,0.28132567473379333,5497
R,q43_edu,medical-cash,province_FE,HC3,1000,-0.18887973672234887,0.09139114379397023,-0.3680030870644518,-0.009756386380245952,0.03876071878235683,5497
R,q43_edu,medical-cash,province_FE,HC3,5000,-0.003183174144341952,0.08918519104708071,-0.17798293655094422,0.17161658826226034,0.971528161409593,5497
R,q43_edu,medical-cash,province_FE,HC3,pooled,-0.09900965800811566,0.053567138411830466,-0.2039993200501755,0.005980004033944164,0.06455486378260274,5497
R,q43_edu,medical-food,province_FE,HC3,200,-0.0711265095749532,0.0918278365820398,-0.25110576205398083,0.10885274290407446,0.43859750947003284,5497
R,q43_edu,medical-food,province_FE,HC3,1000,-0.2709157066706077,0.08900894260748521,-0.44537002848327145,-0.096461384857944,0.002336951353042305,5497
R,q43_edu,medical-food,province_FE,HC3,5000,-0.10774800378686056,0.08715375930978098,-0.2785662331513037,0.0630702255775826,0.21634787626131324,5497
R,q43_edu,medical-food,province_FE,HC3,pooled,-0.1499300733441405,0.05163068871940808,-0.25112436373117875,-0.04873578295710221,0.003685523201628417,5497
R,q43_edu,medical-cash,province_FE,province_cluster,200,-0.10496606315765615,0.1015933393668149,-0.30408534938576864,0.09415322307045633,0.30151111920116924,5497
R,q43_edu,medical-cash,province_FE,province_cluster,1000,-0.18887973672234887,0.11628557618095117,-0.4167952779585019,0.0390358045138042,0.10431716249725075,5497
R,q43_edu,medical-cash,province_FE,province_cluster,5000,-0.003183174144341952,0.0996195987124217,-0.19843399977502124,0.1920676514863373,0.9745092993002082,5497
R,q43_edu,medical-cash,province_FE,province_cluster,pooled,-0.09900965800811566,0.07230034030228578,-0.2407157210705856,0.04269640505435425,0.17086748162779863,5497
R,q43_edu,medical-food,province_FE,province_cluster,200,-0.0711265095749532,0.11316378386400164,-0.2929234503026713,0.15067043115276493,0.5296586723809595,5497
