feature_set,model,fold,N_test,r2,rmse,mae
T,rf,5,1100,0.0025718522043486347,0.26134535729468394,0.19756017830816813
T,rf,6,1100,0.006824953832837433,0.25829298002320467,0.20225515706079508
T,rf,7,1099,0.0067911298135723275,0.2626041519140973,0.20206625948929988
T,rf,8,1099,-0.007540282668512699,0.23938040260588733,0.18704824199068887
T,rf,9,1099,0.008010304788610312,0.26163101810706113,0.20243979415745456
T,hgb,0,1100,0.003231080722532753,0.25119051902441397,0.19417964141569805
T,hgb,1,1100,0.014615630026573179,0.25426895769485347,0.19691968096725923
T,hgb,2,1099,0.005585804569169905,0.25755186332893926,0.19853581351239188
T,hgb,3,1099,0.0021272053170209304,0.25627086665098825,0.19718512497123675
T,hgb,4,1099,0.0017190704120247924,0.2638350289599964,0.20442847396785596
T,hgb,5,1100,0.0026112976057450776,0.2613401895167002,0.19773222377494593
T,hgb,6,1100,0.00647784424286002,0.258338112116751,0.2022700626851959
T,hgb,7,1099,0.006979988881743782,0.26257918358428417,0.2019854868751661
T,hgb,8,1099,-0.0071315817831658634,0.23933184628130375,0.18693725796157734
T,hgb,9,1099,0.007928477705023917,0.26164180857284103,0.202340449940942
O,ridge,0,1100,0.04948064691504195,0.2452937492698076,0.18895692970470918
O,ridge,1,1100,0.05248486517232598,0.24933519510965782,0.1917164460253706
O,ridge,2,1099,0.044820059101638,0.25241992616858716,0.1942482657354898
O,ridge,3,1099,0.015722007622200995,0.25451919075413376,0.19664825531423938
O,ridge,4,1099,0.04348279469160787,0.25825721383139744,0.19965580451727205
O,ridge,5,1100,0.056019224773186216,0.25424683439497975,0.19286640499811572
O,ridge,6,1100,0.046579247196172346,0.2530707800505026,0.19740861720391686
O,ridge,7,1099,0.0358359018208535,0.25873594739133715,0.19843229043765864
O,ridge,8,1099,0.02477185653509384,0.23551062044371207,0.18404583748761638
O,ridge,9,1099,0.014455690010436784,0.2607796681301906,0.20038798335844832
O,elastic_net,0,1100,0.04714948922659279,0.24559435768952884,0.18946585092321586
O,elastic_net,1,1100,0.049752995033865655,0.2496943772918512,0.19291337473385103
O,elastic_net,2,1099,0.042828949243447156,0.2526828787989685,0.19443870115918022
O,elastic_net,3,1099,0.019424264346224462,0.2540400663863438,0.1961968022556306
O,elastic_net,4,1099,0.045210409861690226,0.25802388257382963,0.19994749707238604
O,elastic_net,5,1100,0.049443421084987005,0.2551308438065892,0.19397005412268803
O,elastic_net,6,1100,0.04667917417213918,0.2530575176685302,0.19745624096604233
O,elastic_net,7,1099,0.034432107514364985,0.2589242348105554,0.19921207056816886
O,elastic_net,8,1099,0.030341148162272846,0.2348371855669875,0.18394957623843852
O,elastic_net,9,1099,0.018369879505563458,0.2602612964349718,0.20032417712925193
O,rf,0,1100,0.05458893851595814,0.24463373111830214,0.18916422114121814
O,rf,1,1100,0.05642874474988191,0.2488157451610932,0.192559615884916
O,rf,2,1099,0.04594247073405011,0.2522715759317692,0.19372518406147174
O,rf,3,1099,0.03499220712806095,0.25201538630313125,0.19463110489503094
O,rf,4,1099,0.05126041761451605,0.2572051015261341,0.19875575691375494
O,rf,5,1100,0.06280094874594855,0.2533319111955051,0.1919622933235594
O,rf,6,1100,0.05323682884523462,0.2521856561794224,0.19697143534333839
O,rf,7,1099,0.05177535086076479,0.2565883380575129,0.19767703904026557
O,rf,8,1099,0.031919451415035605,0.23464598675544218,0.1832814314423525
O,rf,9,1099,0.022327313816348227,0.25973614590396094,0.19862241705818048
O,hgb,0,1100,0.04544773675282088,0.245813570651649,0.18938109822200014
O,hgb,1,1100,0.05857657681876216,0.2485323967125646,0.19230384077814036
O,hgb,2,1099,0.018756496756549668,0.25584058282420025,0.19512436983582046
O,hgb,3,1099,0.02244596984145475,0.2536483441930061,0.19459412621994263
O,hgb,4,1099,0.05033520052588103,0.257330485019293,0.19603245261277488
O,hgb,5,1100,0.0635259776166025,0.2532339018740611,0.19195700195898963
O,hgb,6,1100,0.03737562833048513,0.25428932545808614,0.19671871408918373
O,hgb,7,1099,0.04763393887629774,0.257148057880676,0.19765339754540634
O,hgb,8,1099,0.0172292507237517,0.23641960892922165,0.1828511736404192
O,hgb,9,1099,0.01068857217926178,0.2612775913360225,0.19932585214707163
S,ridge,0,1100,0.011550349762658896,0.25014007489104334,0.19421323656767409
S,ridge,1,1100,0.01765798590420753,0.2538761289135355,0.1968542183721021
S,ridge,2,1099,0.004539457632521726,0.2576873288880128,0.19951379284039963
S,ridge,3,1099,0.0021272032747242653,0.2562708669132367,0.19702721643139726
S,ridge,4,1099,-0.0042065358057101765,0.2646169077460099,0.20628469601421873
S,ridge,5,1100,0.006901191250146876,0.2607775554423521,0.19867986281781294
S,ridge,6,1100,0.009380984614480226,0.2579603950812683,0.20258071779114994
S,ridge,7,1099,0.014528288079953655,0.26157930084050873,0.20111205873920382
S,ridge,8,1099,-0.010306949797259879,0.23970884201062465,0.1874995077806652
S,ridge,9,1099,0.007718797697905289,0.2616694568605692,0.20294584811605698
S,elastic_net,0,1100,0.012275746451865688,0.25004827249887945,0.19414726565952273
S,elastic_net,1,1100,0.016670608729414726,0.2540036855760143,0.19686613491226768
S,elastic_net,2,1099,0.0067449805630747095,0.2574017070898896,0.19911998773130155
S,elastic_net,3,1099,0.00528777021836957,0.25586470111766396,0.19695773512627462
S,elastic_net,4,1099,-0.0027004865604358663,0.26441840494127367,0.20603284169350503
S,elastic_net,5,1100,0.008017709542586182,0.26063092109372005,0.19836575540963983
S,elastic_net,6,1100,0.009561997378820464,0.25793682584993816,0.20265229594626652
S,elastic_net,7,1099,0.012101313575188732,0.2619012055179471,0.20135565375308742
S,elastic_net,8,1099,-0.007103195396774176,0.2393284734280147,0.1870026975677386
S,elastic_net,9,1099,0.006942003461666624,0.26177185906292777,0.20301427085530963
S,rf,0,1100,0.022841878261398607,0.24870723686805019,0.1937694630003283
S,rf,1,1100,0.016903772610302736,0.2539735695249685,0.1975126037458326
S,rf,2,1099,-0.0036175741248238857,0.2587409493958824,0.20085445867255264
S,rf,3,1099,-0.0018932639914857052,0.2567866104590357,0.19756677580924809
S,rf,4,1099,-0.008075134197036649,0.2651261219769891,0.20642220622018417
S,rf,5,1100,-0.0045578681885731775,0.26227775597191566,0.19881471096498363
S,rf,6,1100,0.013745820754795468,0.2573914589590321,0.20160009285588057
S,rf,7,1099,0.01557431636330675,0.2614404373954515,0.20224435774968583
S,rf,8,1099,-0.021979724370323472,0.24108962615211818,0.1890061964250291
S,rf,9,1099,0.0023447629653143842,0.26237707981999475,0.2041241814087588
S,hgb,0,1100,-0.012445789830663578,0.2531581357451462,0.194562360587829
S,hgb,1,1100,0.00637390775796165,0.2553300920666818,0.1973074544133663
S,hgb,2,1099,-0.03688276942791302,0.26299401626994123,0.2023334852470048
S,hgb,3,1099,-0.027704923824272143,0.2600733578665093,0.19783326692355468
S,hgb,4,1099,-0.05222475667295989,0.2708696372096729,0.21053628610617814
S,hgb,5,1100,-0.042475258935420035,0.2671817916225844,0.20138380288708768
S,hgb,6,1100,0.013503797136790285,0.25742303854175214,0.20080246962226225
S,hgb,7,1099,-0.011106467920420249,0.2649596477570171,0.20321715548037186
S,hgb,8,1099,-0.04537639618971312,0.24383369987745138,0.18979557445891404
S,hgb,9,1099,-0.027367589476267273,0.26625549606771953,0.20494585628754608
A,ridge,0,1100,-0.0007741695626319878,0.2516946841508442,0.19442317936968576
A,ridge,1,1100,0.012629235918120152,0.25452511361212504,0.19734896855656128
A,ridge,2,1099,0.009033775698449764,0.2571049657951751,0.19891300887308716
A,ridge,3,1099,0.006251492962801697,0.25574072436405365,0.19722540391377708
A,ridge,4,1099,0.004678482577881282,0.2634436681214985,0.20562736194428693
A,ridge,5,1100,-0.005339648160961996,0.2623797927116252,0.19965654459193716
A,ridge,6,1100,0.009313030034187042,0.25796924272576827,0.20263502566267216
A,ridge,7,1099,0.012312426507056329,0.26187322001380325,0.2020361246325135
A,ridge,8,1099,-0.009232505765318422,0.2395813449924268,0.18732700197004573
A,ridge,9,1099,0.00781365332641859,0.26165694961265334,0.20290687277344588
A,elastic_net,0,1100,0.0011936426036718295,0.2514471100295884,0.19437326437557514
A,elastic_net,1,1100,0.013144307605974848,0.25445871718520535,0.19723793389630126
A,elastic_net,2,1099,0.010126225259425414,0.2569632093698086,0.19870955961696601
A,elastic_net,3,1099,0.005355266782342882,0.255856020073727,0.19717273261486323
A,elastic_net,4,1099,0.005484850442756373,0.2633369309778319,0.20524406953966054
A,elastic_net,5,1100,-0.001217616459529669,0.2618413434832375,0.19908559073857698
A,elastic_net,6,1100,0.010508871609036796,0.25781350054663205,0.20249982849202613
A,elastic_net,7,1099,0.010041385914372203,0.26217411639590454,0.20203915741686887
A,elastic_net,8,1099,-0.006877627282903864,0.2393016698711515,0.1872557554846936
A,elastic_net,9,1099,0.008887942363699497,0.2615152568129269,0.20262759789600177
A,rf,0,1100,0.013756870822763556,0.24986072443975488,0.19331427644883956
A,rf,1,1100,0.020685109502410426,0.2534846627157831,0.19691722369471631
A,rf,2,1099,0.010956941576896417,0.2568553631268429,0.19915529839409885
A,rf,3,1099,0.005940966377585455,0.2557806781805367,0.19734632322743062
A,rf,4,1099,-0.003939915641399283,0.2645817770809078,0.20677808309062418
A,rf,5,1100,-0.008445197136299987,0.2627847329732687,0.19930730825728243
A,rf,6,1100,0.027414327421976914,0.2556016406259838,0.2014894645793211
A,rf,7,1099,0.024679123353697707,0.2602286170050889,0.20080013382530276
A,rf,8,1099,-0.007041807814413437,0.23932117922999654,0.18732609410577858
A,rf,9,1099,0.013982604034552315,0.26084225100991126,0.20253172347568738
A,hgb,0,1100,-0.028232301517045588,0.25512417948198496,0.19466216095264138
A,hgb,1,1100,-0.00405166890337938,0.2566661163674028,0.19768996789898097
A,hgb,2,1099,-0.026449973971775842,0.2616675888643064,0.20114335932021943
A,hgb,3,1099,-0.023816487071703252,0.2595808832440587,0.1985780828290245
A,hgb,4,1099,-0.009129955865859518,0.26526479599536856,0.20680041647451178
A,hgb,5,1100,-0.02863247025717075,0.2654019406053495,0.20111077308264796
A,hgb,6,1100,0.004094094479635713,0.258647840728959,0.20348897400005175
A,hgb,7,1099,0.01856247765862895,0.261043342951917,0.20001486970397594
A,hgb,8,1099,-0.03501069156673653,0.2426217895455168,0.1893163031969194
A,hgb,9,1099,-0.013360986661071106,0.2644342719158055,0.20368001643505676
O+S,ridge,0,1100,0.049110483674377536,0.24534150731417245,0.18920276568214853
O+S,ridge,1,1100,0.056773453669713314,0.24877029186804953,0.19109419279408696
O+S,ridge,2,1099,0.04348207895889622,0.252596654471959,0.19447291902811487
O+S,ridge,3,1099,0.017225415812651246,0.2543247373241732,0.19618987181289219
O+S,ridge,4,1099,0.03626935804759579,0.2592291895477817,0.20117094216850612
O+S,ridge,5,1100,0.057905054132447176,0.25399274773389074,0.19249740254635173
O+S,ridge,6,1100,0.05103398595601161,0.25247886710862993,0.19708506838803236
O+S,ridge,7,1099,0.03523892337217727,0.25881603535721687,0.198502609544744
O+S,ridge,8,1099,0.02516087969211811,0.2354636426035333,0.18330226929707122
O+S,ridge,9,1099,0.01662646444155269,0.26049231123744454,0.20044769583050634
O+S,elastic_net,0,1100,0.050662232145105346,0.24514124022332684,0.18941784940681805
O+S,elastic_net,1,1100,0.05642064485374365,0.24881681311296064,0.1920553281436844
O+S,elastic_net,2,1099,0.044872816761528544,0.2524129550901884,0.19453377672906336
O+S,elastic_net,3,1099,0.025042570506027317,0.2533112470182447,0.195602620612073
O+S,elastic_net,4,1099,0.039440992121133944,0.2588022768514553,0.20117436850939585
O+S,elastic_net,5,1100,0.05498781323505397,0.2543856939640928,0.1932890965720511
O+S,elastic_net,6,1100,0.051567578631472655,0.25240787414601085,0.19717814885691995
O+S,elastic_net,7,1099,0.034749368193891184,0.2588816934065625,0.1991793690579315
O+S,elastic_net,8,1099,0.03343276766467673,0.23446251417896022,0.1832696016860199
