seed,amount,method,calibration,cal_lo,cal_hi,top_bottom,tb_lo,tb_hi,N
20260925,5000,t,0.34771545596997055,-0.3458954335453035,1.0413263454852446,0.04961987146370819,-0.040321635223497146,0.13956137815091352,1220
20260925,5000,dr,-0.0771899760733265,-0.6099852624362401,0.4556053102895871,0.02723556252343376,-0.05872677323943923,0.11319789828630675,1220
20260926,200,t,0.2399300481364455,-0.38971528539784417,0.8695753816707351,0.03764093149616354,-0.06038510321682673,0.1356669662091538,1234
20260926,200,dr,0.2678322742578261,-0.2200536268407134,0.7557181753563655,0.032728768642918765,-0.06176229190583481,0.12721982919167235,1234
20260926,1000,t,0.9543374168584703,0.4449431924681262,1.4637316412488144,0.15468124784628345,0.05986584210128226,0.24949665359128465,1207
20260926,1000,dr,0.605193756786676,0.18649238215484576,1.0238951314185063,0.09025249071685812,-0.0009173302605991474,0.18142231169431539,1207
20260926,5000,t,0.19406943910543695,-0.4535213712564107,0.8416602494672846,0.030377717520706393,-0.05901550804324848,0.11977094308466127,1220
20260926,5000,dr,-0.24576510630210718,-0.8306482976337861,0.3391180850295717,-0.014586592162588119,-0.10014988557231108,0.07097670124713484,1220
20260927,200,t,-0.08718950016667096,-0.7413981652465524,0.5670191649132106,-0.013655579338739732,-0.10919438831955125,0.08188322964207179,1234
20260927,200,dr,0.40669610971596576,-0.14174407071906908,0.9551362901510005,0.045727169091848374,-0.04823255016315915,0.1396868883468559,1234
20260927,1000,t,1.1939918054785021,0.6710522465382757,1.7169313644187287,0.2034690400508582,0.10841025699412485,0.2985278231075915,1207
20260927,1000,dr,0.8407058852083584,0.3861087623437141,1.2953030080730028,0.15697627514404372,0.06333974603507767,0.2506128042530098,1207
20260927,5000,t,0.3240419911271267,-0.30519662648712476,0.9532806087413782,0.05010890133831311,-0.033874038536831616,0.13409184121345785,1220
20260927,5000,dr,0.05495054825032136,-0.5755571912527457,0.6854582877533884,0.04297805012276698,-0.0465314228903687,0.13248752313590267,1220
20260928,200,t,0.21799380952226893,-0.46931533947882303,0.905302958523361,0.0012007691305772339,-0.0989254521813617,0.10132699044251617,1234
20260928,200,dr,-0.043743764801532,-0.5549338744662038,0.46744634486313985,-0.04475928112291744,-0.1415540425766942,0.052035480330859335,1234
20260928,1000,t,0.9790461641370072,0.46202546924994703,1.4960668590240673,0.13497183985605038,0.0400524814700331,0.22989119824206766,1207
20260928,1000,dr,0.5233676040220274,0.0761470733046189,0.970588134739436,0.09409615003085647,0.0015577245371783816,0.18663457552453455,1207
