sample,variable,specification,se_type,amount,effect_or_wald,se,lo,hi,p,N
R,q43_edu,controls,HC3,1000,-0.25091892448377845,0.08734868780232453,-0.42211920667316766,-0.07971864229438924,0.004070932241102768,5497
R,q43_edu,controls,HC3,5000,-0.09590136832793604,0.08449858706664033,-0.2615155557230731,0.06971281906720102,0.2563977714114476,5497
R,q43_edu,controls,HC3,joint,11.202040016908354,,,,0.08232928034682432,5497
R,q43_edu,controls,province_cluster,200,-0.08721949549040212,0.11584120450002376,-0.3142640842361879,0.1398250932553837,0.4514962469194954,5497
R,q43_edu,controls,province_cluster,1000,-0.25091892448377845,0.10422854829336761,-0.45520312529967266,-0.04663472366788421,0.01606693423855919,5497
R,q43_edu,controls,province_cluster,5000,-0.09590136832793604,0.08591862657443321,-0.26429878201497115,0.07249604535909905,0.26434152867121374,5497
R,q43_edu,controls,province_cluster,joint,13.607635420663073,,,,0.03433975204651289,5497
R,q43_edu,controls,city_cluster,200,-0.08721949549040212,0.09010624719138212,-0.26382449476757447,0.08938550378677024,0.33306294764708766,5497
R,q43_edu,controls,city_cluster,1000,-0.25091892448377845,0.09372534784955669,-0.43461723070739816,-0.06722061826015874,0.007424639669764992,5497
R,q43_edu,controls,city_cluster,5000,-0.09590136832793604,0.08375970204249313,-0.2600673676870286,0.0682646310311565,0.25222642047684385,5497
R,q43_edu,controls,city_cluster,joint,10.864203354291462,,,,0.09266516156861893,5497
R,q43_edu,province_FE,HC1,200,-0.0711265095749532,0.09116778330762029,-0.2498120814082409,0.1075590622583345,0.43528991386497085,5497
R,q43_edu,province_FE,HC1,1000,-0.2709157066706077,0.08834199350259253,-0.44406283225816057,-0.09776858108305489,0.002164579658008026,5497
R,q43_edu,province_FE,HC1,5000,-0.10774800378686056,0.08655900388029011,-0.27740053392989195,0.06190452635617086,0.21320801271146272,5497
R,q43_edu,province_FE,HC1,joint,13.15100522184006,,,,0.04069966998375086,5497
R,q43_edu,province_FE,HC3,200,-0.0711265095749532,0.0918278365820398,-0.25110576205398083,0.10885274290407446,0.43859750947003284,5497
