variable,estimand,primary_effect,primary_p,primary_q,sign_stability,specs_p_lt_05,specs_total
q11_mobility,medical-cash,0.11308774590508988,0.036962513137264875,0.2587375919608541,1.0,7,14
q11_mobility,medical-food,0.07677935064186997,0.14009846728210762,0.8166465767948325,1.0,0,14
q11_mobility,restricted-cash,0.0746980705841549,0.12705409888718147,0.3481246862209062,1.0,0,14
q12_voice,food-cash,0.024792853251052602,0.6592230998438194,0.8343873281313628,0.6428571428571429,0,14
q12_voice,medical-cash,0.0688053054305837,0.2025045168450903,0.5265117437972349,1.0,0,14
q12_voice,medical-food,0.044012452179531106,0.4130101316600988,0.8948552852635475,0.8571428571428571,0,14
q12_voice,restricted-cash,0.04679907934081815,0.33073426182552335,0.6315974652755662,1.0,0,14
q13_pressure,food-cash,0.054962908875139556,0.3335241392243825,0.6618890817969858,1.0,0,14
q13_pressure,medical-cash,0.10394501206940268,0.05732139780035966,0.2674998564016784,1.0,4,14
q13_pressure,medical-food,0.048982103194263125,0.360623802185708,0.8166465767948325,0.8571428571428571,0,14
q13_pressure,restricted-cash,0.07945396047227112,0.10430017987349002,0.3481246862209062,1.0,2,14
q15_fut_self,food-cash,0.04956075718125906,0.3695839014288004,0.6618890817969858,0.9285714285714286,0,14
q15_fut_self,medical-cash,0.06874316421536414,0.20392409049805738,0.3570409385978949,1.0,1,14
q15_fut_self,medical-food,0.01918240703410508,0.7161704683588608,0.8166465767948325,0.8571428571428571,0,14
q15_fut_self,restricted-cash,0.0591519606983116,0.2167772923129787,0.3481246862209062,1.0,1,14
q16_fut_society,food-cash,0.03614999963989696,0.5059243040775199,0.8343873281313628,1.0,0,14
q16_fut_society,medical-cash,0.002493514284937741,0.9632211536999347,0.992901332758698,0.35714285714285715,0,14
q16_fut_society,medical-food,-0.033656485354959215,0.5318481075519248,0.9039581200139347,0.9285714285714286,0,14
q16_fut_society,restricted-cash,0.01932175696241735,0.6813540035429645,0.8144609010112667,0.9285714285714286,0,14
q17a_fut_econ,food-cash,0.0667186553380216,0.22338007265371473,0.6618890817969858,0.9285714285714286,2,14
q17a_fut_econ,medical-cash,0.04342117615157519,0.4213106779227449,0.47172861037943814,0.9285714285714286,0,14
q17a_fut_econ,medical-food,-0.02329747918644641,0.6551474820543579,0.8166465767948325,0.5714285714285714,0,14
q17a_fut_econ,restricted-cash,0.055069915744798394,0.24866049015779013,0.3481246862209062,1.0,0,14
q17b_fut_job,food-cash,0.030130658055871964,0.5884822031215142,0.6618890817969858,1.0,0,14
q17b_fut_job,medical-cash,0.08434442133295166,0.11475927281749325,0.3213259638889811,1.0,2,14
q17b_fut_job,medical-food,0.05421376327707969,0.2987036617786091,0.8166465767948325,0.8571428571428571,0,14
q17b_fut_job,restricted-cash,0.05723753969441181,0.23271366723100606,0.3481246862209062,1.0,0,14
q17c_fut_price,food-cash,0.10084285172396308,0.06803965397636554,0.6618890817969858,1.0,4,14
