domain,encoded_predictor,context,row_type,standardized_coef,lo,p10,p25,p50,p75,p90,hi,pooled_coef,fixed_display_subset,bootstrap_B
expectations,q17e_fut_welfare,cash,form,-1.6855e-05,-0.02632431578822434,-0.017309664748609063,-0.009195551043376327,0.0007475329039152712,0.008378836093470454,0.014271895494312055,0.021082959556952115,0.0126335025,True,300
expectations,q17e_fut_welfare,food,form,0.027941398,0.0032874195487238465,0.010698757693171503,0.021302323788404465,0.0289694145321846,0.03621281683444977,0.044523896649479866,0.05024053156375885,0.0126335025,True,300
expectations,q17e_fut_welfare,medical,form,0.0026225545,-0.02187590505927801,-0.011402871459722519,-0.0038501497474499047,0.0034777713008224964,0.011234463658183813,0.016628930531442165,0.024515369255095714,0.0126335025,True,300
expectations,q17e_fut_welfare,cash-food,difference,-0.027958253,-0.06334493104368448,-0.05070501156151295,-0.041810053400695324,-0.02884593978524208,-0.016895305830985308,-0.006293174996972082,0.007704351097345352,0.0126335025,True,300
expectations,q17e_fut_welfare,cash-medical,difference,-0.0026394096,-0.03794641671702266,-0.025649341754615307,-0.014485462801530957,-0.003855307586491108,0.008150206413120031,0.018288149125874054,0.030104949139058576,0.0126335025,True,300
expectations,q17e_fut_welfare,food-medical,difference,0.025318844,-0.009499152167700229,0.0018419517204165462,0.014828699175268412,0.025320659391582012,0.036236039362847805,0.04702761322259903,0.059954160358756774,0.0126335025,True,300
security_pressure,q18_ses_now,cash,form,0.0028473674,-0.021703418996185064,-0.014061623625457285,-0.005981669528409839,0.00266137917060405,0.010895189829170704,0.019084230624139314,0.027892427332699286,-0.008546379,True,300
security_pressure,q18_ses_now,food,form,-0.009399861,-0.03351134154945612,-0.026033432222902775,-0.01812844118103385,-0.008299826178699732,0.002491384162567556,0.008380836807191391,0.02095052781514822,-0.008546379,True,300
security_pressure,q18_ses_now,medical,form,-0.022252917,-0.04464688813313842,-0.035421254485845564,-0.030719521455466747,-0.021010885946452618,-0.013959049014374614,-0.006095849210396377,0.001105403115798245,-0.008546379,True,300
security_pressure,q18_ses_now,cash-food,difference,0.012247229,-0.026432428415864705,-0.014585536066442728,-0.0007166228024289012,0.009532594587653875,0.02360017690807581,0.03588557988405229,0.04712969809770583,-0.008546379,True,300
security_pressure,q18_ses_now,cash-medical,difference,0.025100285,-0.01040820381604135,0.0011633074842393404,0.012354856356978416,0.02428948786109686,0.03519141022115946,0.044776930287480365,0.05602322295308113,-0.008546379,True,300
security_pressure,q18_ses_now,food-medical,difference,0.012853056,-0.021805916540324686,-0.008797954395413398,0.0008886019350029528,0.01285577192902565,0.02498645195737481,0.037523736059665684,0.04479891387745737,-0.008546379,True,300
security_pressure,q19_ses_past5,cash,form,-0.01149814,-0.0390298985876143,-0.029730223678052423,-0.021155941300094128,-0.012094609439373016,-0.004590698750689626,0.003157188231125475,0.009921462717466056,-0.0051375264,False,300
security_pressure,q19_ses_past5,food,form,-0.0060611307,-0.03299187980592251,-0.02229240499436855,-0.015517148189246655,-0.006521790288388729,0.0020577172399498522,0.008744579553604132,0.01556109737139195,-0.0051375264,False,300
security_pressure,q19_ses_past5,medical,form,-0.0016597419,-0.023281771782785655,-0.015866334922611712,-0.008984902640804648,-0.0020388810080476105,0.005828582565300167,0.011251525301486254,0.017670014314353454,-0.0051375264,False,300
security_pressure,q19_ses_past5,cash-food,difference,-0.0054370095,-0.03830651957541704,-0.029084348306059837,-0.01758511969819665,-0.0056249904446303844,0.006777552887797356,0.016568742319941543,0.028206342225894295,-0.0051375264,False,300
security_pressure,q19_ses_past5,cash-medical,difference,-0.009838399,-0.04689752031117678,-0.03138423152267933,-0.021768375299870968,-0.011147742159664631,0.0010210280888713896,0.011784071754664189,0.019777054572477935,-0.0051375264,False,300
security_pressure,q19_ses_past5,food-medical,difference,-0.0044013886,-0.03456865483894944,-0.025128494575619695,-0.01719794701784849,-0.004880258580669761,0.005768368486315012,0.014899976179003722,0.02354896343313154,-0.0051375264,False,300
expectations,q20_ses_next1,cash,form,-0.0122562805,-0.038865255750715734,-0.02929985523223877,-0.020251044537872076,-0.012100407853722572,-0.0037950394907966256,0.002279180474579338,0.015116498130373645,-0.015150811,True,300
expectations,q20_ses_next1,food,form,-0.0212739,-0.044589975569397214,-0.0364735409617424,-0.029040458612143993,-0.021441415883600712,-0.012064236449077725,-0.005162734817713489,0.0013496518455212631,-0.015150811,True,300
expectations,q20_ses_next1,medical,form,-0.013870518,-0.032537696044892074,-0.026793935522437095,-0.021524823270738125,-0.013314263429492712,-0.006200159201398492,0.0011377294897101941,0.0072358362725935595,-0.015150811,True,300
expectations,q20_ses_next1,cash-food,difference,0.009017619,-0.02583665894344449,-0.015548864193260669,-0.0023062732070684433,0.010555590968579054,0.02027918817475438,0.02939111609011889,0.0438223993405699,-0.015150811,True,300
