sample,variable,contrast,spec,se_type,effect_or_wald,se,lo,hi,p,N
R,q30_medexp,medical-food,trend,HC1,0.13595504503425498,0.05255118438267192,0.032956616299294264,0.23895347376921572,0.009678816159738934,5497
R,q30_medexp,medical-food,trend,HC3,0.13595504503425498,0.05272526360658973,0.03261542728995867,0.2392946627785513,0.009921421593744446,5497
R,q30_medexp,medical-food,factor_omnibus,HC1,16.293333794862537,,,,0.09153765036931581,5497
A,income_h,medical-cash,trend,HC1,-0.11373567090565545,0.05418259707646175,-0.2199316097643657,-0.007539732046945191,0.03580649016171185,5480
A,income_h,medical-cash,trend,HC3,-0.11373567090565545,0.05439090349851312,-0.22033988284933478,-0.007131458961976117,0.03652099140486971,5480
A,income_h,medical-food,trend,HC1,-0.15816707987325737,0.05136108212396517,-0.25883295104323306,-0.05750120870328167,0.002073398665520337,5480
A,income_h,medical-food,trend,HC3,-0.15816707987325737,0.05155069284211893,-0.25920458122189727,-0.0571295785246175,0.0021536300382518107,5480
A,q43_edu,medical-cash,trend,HC1,-0.0980388498447837,0.053144756793496506,-0.20220065912717722,0.006122959437609821,0.06507375020654844,5480
A,q43_edu,medical-cash,trend,HC3,-0.0980388498447837,0.05330871160473724,-0.20252200465230114,0.006444304962733724,0.0659037940059374,5480
A,q43_edu,medical-food,trend,HC1,-0.15260051597136154,0.05097777773310062,-0.2525151243401267,-0.05268590760259641,0.002758234243516741,5480
A,q43_edu,medical-food,trend,HC3,-0.15260051597136154,0.051124334446362274,-0.2528023702198121,-0.052398661722910994,0.002836802934501864,5480
A,q30_medexp,medical-cash,trend,HC1,0.11663781595129911,0.053457686887562236,0.01186267495485803,0.2214129569477402,0.02911900053992542,5480
A,q30_medexp,medical-cash,trend,HC3,0.11663781595129911,0.053633372365247164,0.011518337745988858,0.22175729415660939,0.02965075793319347,5480
A,q30_medexp,medical-food,trend,HC1,0.1333405089667865,0.052518706681217976,0.03040573535697616,0.23627528257659686,0.011119697600093147,5480
A,q30_medexp,medical-food,trend,HC3,0.1333405089667865,0.052692518174552984,0.03006507108994043,0.23661594684363257,0.011388719688666853,5480
C,income_h,medical-cash,trend,HC1,-0.10237744799655255,0.05586402525827456,-0.21186892553420655,0.007114029541101477,0.06685932014148513,5171
C,income_h,medical-cash,trend,HC3,-0.10237744799655255,0.056091749035111924,-0.21231525593523126,0.0075603599421261575,0.06797411429038856,5171
C,income_h,medical-cash,factor_omnibus,HC1,14.663236458124109,,,,0.14483049321295857,5171
C,income_h,medical-food,trend,HC1,-0.1450598714712899,0.052977194968621695,-0.248893265611745,-0.041226477330834815,0.006178459307951772,5171
C,income_h,medical-food,trend,HC3,-0.1450598714712899,0.053185228571813514,-0.24930100398157506,-0.040818738961004755,0.006382658527255828,5171
C,income_h,medical-food,factor_omnibus,HC1,14.663236458124109,,,,0.14483049321295857,5171
